<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140901;000000;37.1995000;37.5100000;36.6600000;36.9200000;28158299000
20140908;000000;37.1090000;37.9700000;36.8600000;37.7850000;17991327000
20140915;000000;37.8900000;38.9300000;37.8495000;38.4215000;24867555000
20140922;000000;38.3575000;39.1920000;38.1390000;39.1765000;25552035000
20140929;000000;39.2720000;39.9660000;39.2160000;39.9570000;23023872000
20141006;000000;39.9985000;40.4600000;39.6485000;40.3250000;23959398000
20141013;000000;40.2445000;41.1500000;40.1980000;40.7525000;30030611000
20141020;000000;40.8600000;42.0100000;40.7790000;41.9060000;27573771000
20141027;000000;41.7615000;43.6600000;41.0005000;43.0340000;43234815000
20141103;000000;43.1500000;48.6495000;43.1300000;46.6500000;23449208000
20141110;000000;46.4820000;47.8450000;44.9565000;47.1735000;22708780000
20141117;000000;47.0650000;47.5335000;45.3185000;45.7140000;20031822000
20141124;000000;45.5715000;50.4085000;44.3450000;50.4085000;28081727000
20141201;000000;51.0600000;54.9090000;50.3005000;52.5100000;31458335000
20141208;000000;52.8610000;58.5260000;52.8580000;58.1800000;21136225000
20141215;000000;58.1595000;80.1000000;57.5045000;58.5500000;28574170000
20141222;000000;58.8580000;58.8580000;51.6670000;54.0040000;16520679000
20141229;000000;54.6740000;59.4000000;54.6015000;56.0000000;9442094000
20150105;000000;59.1885000;64.1650000;57.5160000;61.5500000;3060241000
20150112;000000;62.0005000;66.6910000;62.0005000;65.1985000;15772220000
20150119;000000;65.3995000;66.0715000;62.9145000;64.2395000;13659339000
20150126;000000;64.5960000;71.8465000;64.5960000;68.9105000;19137611000
20150202;000000;69.2210000;70.5090000;64.5070000;66.9850000;23258057000
20150209;000000;66.5350000;67.5000000;63.0000000;63.5000000;19411739000
20150216;000000;63.0480000;63.5940000;61.1700000;62.0500000;20118601000
20150223;000000;63.7270000;64.2000000;59.6010000;61.6000000;16237705000
20150302;000000;61.9500000;62.7290000;59.2820000;60.4450000;14857729000
20150309;000000;60.8010000;63.0500000;60.1200000;62.2490000;15713993000
20150316;000000;62.2980000;62.7500000;58.9900000;59.2550000;18999713000
20150323;000000;59.1340000;59.8830000;56.0390000;57.9000000;21079178000
20150330;000000;58.3230000;58.6770000;56.1900000;56.6060000;16533855000
20150406;000000;56.7690000;56.7690000;50.2700000;53.6000000;23867923000
20150413;000000;53.3500000;53.3500000;49.4200000;51.8950000;22109533000
20150420;000000;51.6090000;54.1680000;50.0650000;50.9000000;23146512000
20150427;000000;50.9080000;52.6350000;50.6340000;51.6900000;15055921000
20150504;000000;52.1280000;52.3520000;49.5930000;51.0400000;14236997000
20150511;000000;51.2830000;51.3910000;48.8290000;49.5700000;13637491000
20150518;000000;49.1590000;50.2000000;48.9220000;50.0280000;18493366000
